agent_id,o_zone_id, d_zone_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min,volume,departure_time, travel_time_in_min,arrival_time,node_sequence,org_path_node_sequence,path_time_sequence
35,1029707,71603,1029707,71603,456.34,592.2,1800,0,136,138,1029707;29707;29709;29705;28740;28708;71603;,,456.30;457.54;488.74;501.94;541.94;581.94;592.20;
36,70902,1028539,70902,1028539,492.12,630.7,1800,0,139,141,70902;29492;29477;29405;28582;28533;28539;1028539;,,492.10;493.32;513.32;559.32;579.72;604.92;620.52;630.70;
37,1008660,50205,1008660,50205,438.72,578.2,1800,0,139,141,1008660;8660;9102;9197;9366;7595;8188;7590;8683;50205;,,438.70;439.92;454.92;469.92;489.92;501.92;531.92;563.92;567.92;578.20;
38,71603,1029708,71603,1029708,474.38,615,1800,0,141,143,71603;28708;28740;29705;29710;29708;1029708;,,474.30;475.58;515.58;555.58;569.98;604.78;615.00;
39,1028504,1029556,1028504,1029556,523.02,665,1800,0,142,144,1028504;28504;70807;1400190;29164;29165;28508;29556;1029556;,,523.00;524.22;534.42;535.62;581.62;584.02;591.22;654.82;665.00;
40,1029556,1026140,1029556,1026140,458.92,601.2,1800,0,142,144,1029556;29556;26299;26171;26533;71417;27355;26562;26364;26140;1026140;,,458.90;460.12;473.32;491.32;496.12;506.32;507.52;531.52;541.52;591.02;601.20;
41,1027441,1027894,1027441,1027894,505.4,647.8,1800,0,142,144,1027441;27441;27833;27984;27841;27843;27849;27848;27880;27894;1027894;,,505.40;506.60;543.60;557.60;572.60;581.60;613.60;624.60;635.60;637.60;647.80;
42,50205,1007520,50205,1007520,523.87,669.3,1800,0,145,147,50205;8683;7590;8188;7595;9366;7972;7973;8677;7520;1007520;,,523.80;525.07;529.07;561.07;591.07;603.07;607.07;609.07;646.07;659.07;669.30;
43,50104,1028038,50104,1028038,508.44,658.5,1800,0,150,152,50104;27945;27929;27946;27947;27948;27942;28275;27941;27940;50103;27838;28038;1028038;,,508.40;509.64;519.24;521.64;532.44;540.84;550.44;564.84;570.84;598.44;608.64;609.84;648.24;658.50;
44,1009335,1007295,1009335,1007295,501.47,654.9,1800,0,153,155,1009335;9335;7278;7277;7275;7255;52405;7345;7344;7336;7280;7281;7295;1007295;,,501.40;502.67;547.67;557.67;560.07;573.27;583.47;584.67;600.27;602.67;633.67;635.67;644.67;654.90;
45,50106,1027938,50106,1027938,499,654.8,1800,0,156,158,50106;27916;27917;27913;27883;27884;27856;27887;27845;27852;27853;27900;27938;1027938;,,499.00;500.20;518.20;530.20;537.40;550.60;560.60;566.60;576.35;601.10;609.35;614.60;644.60;654.80;
46,52405,1006463,52405,1006463,459.15,617.4,1800,0,158,160,52405;7255;8616;8840;8493;7279;7331;7254;7328;7282;6463;1006463;,,459.10;460.35;473.55;489.15;493.15;497.15;504.35;530.75;537.95;547.95;607.20;617.40;
47,1027744,70923,1027744,70923,527.7,689.9,1800,0,162,164,1027744;27744;27514;28017;27512;27546;28056;27778;27547;70923;,,527.60;528.90;569.70;579.70;587.70;633.70;647.70;663.70;679.70;689.90;
48,1009375,1008487,1009375,1008487,446.68,621.3,1800,0,175,177,1009375;9375;7338;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,446.60;447.88;466.88;478.88;507.88;525.88;531.88;537.88;543.88;551.08;577.48;584.68;588.28;596.68;611.08;621.30;
49,1027937,1027591,1027937,1027591,472.46,650.1,1800,0,178,180,1027937;27937;27867;27909;27908;27911;27910;27832;27899;27590;27589;27591;1027591;,,472.40;473.66;509.66;519.41;524.66;531.41;537.41;557.66;589.91;595.91;603.91;639.91;650.10;
50,71601,1029708,71601,1029708,539.39,718.4,1800,0,179,181,71601;29697;29696;29178;29701;29115;29114;29116;29705;29710;29708;1029708;,,539.30;540.59;556.59;580.59;602.59;616.59;620.59;636.19;658.99;673.39;708.19;718.40;
51,1008924,1008487,1008924,1008487,514.73,700.4,1800,0,186,188,1008924;8924;9375;7338;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,514.70;515.93;526.93;545.93;557.93;586.93;604.93;610.93;616.93;622.93;630.13;656.53;663.73;667.33;675.73;690.13;700.40;
52,1029915,1027938,1029915,1027938,441.7,633.1,1800,0,191,193,1029915;29915;27641;27912;27856;27887;27845;27852;27853;27900;27938;1027938;,,441.70;442.90;503.65;519.40;538.90;544.90;554.65;579.40;587.65;592.90;622.90;633.10;
53,52405,1009330,52405,1009330,497.08,692.3,1800,0,195,197,52405;7255;8616;8840;7392;7388;8494;7396;7257;7267;7265;7263;7284;7286;9330;1009330;,,497.00;498.28;511.48;527.08;536.68;539.08;545.08;549.88;561.88;573.88;593.08;601.08;610.08;634.08;682.08;692.30;
54,1027937,1027663,1027937,1027663,479.81,676.5,1800,0,197,199,1027937;27937;27867;27909;27908;27911;27910;27832;27899;27590;27663;1027663;,,479.80;481.01;517.01;526.76;532.01;538.76;544.76;565.01;597.26;603.26;666.26;676.50;
55,52304,1008487,52304,1008487,466.85,664.5,1800,0,198,200,52304;7686;7847;8137;7846;8717;7339;7337;7296;7388;8494;7387;7279;7331;7254;7328;7276;7366;8487;1008487;,,466.80;468.05;477.65;488.45;496.85;516.05;519.65;522.05;551.05;569.05;575.05;581.05;587.05;594.25;620.65;627.85;631.45;639.85;654.25;664.50;
56,1007810,1007497,1007810,1007497,504.89,703.8,1800,0,199,201,1007810;7810;8290;7780;8959;8958;7922;139265;7979;7996;7977;7823;7804;7701;8347;7497;1007497;,,504.80;506.10;542.09;553.34;554.84;556.34;564.59;566.09;572.09;587.84;602.09;617.09;637.34;651.59;659.09;693.59;703.80;
57,1027592,1027938,1027592,1027938,495.55,694.6,1800,0,199,201,1027592;27592;27917;27913;27883;27884;27856;27887;27845;27852;27853;27900;27938;1027938;,,495.50;496.75;557.95;569.95;577.15;590.35;600.35;606.35;616.10;640.85;649.10;654.35;684.35;694.60;
